Card_ID,Correct,Date
MPDmbR6pSzYCcgeShz2CnV,True,2023-02-19
WAUMUMuTNCFwucnadMJVPb,False,2023-02-19
MPDmbR6pSzYCcgeShz2CnV,True,2023-02-18
WAUMUMuTNCFwucnadMJVPb,False,2023-02-19
MPDmbR6pSzYCcgeShz2CnV,True,2023-02-19
WAUMUMuTNCFwucnadMJVPb,False,2023-02-19
MPDmbR6pSzYCcgeShz2CnV,True,2023-02-4
WAUMUMuTNCFwucnadMJVPb,False,2023-02-19
MPDmbR6pSzYCcgeShz2CnV,True,2023-02-19
WAUMUMuTNCFwucnadMJVPb,False,2023-02-28
HF2gampXXRyBCXe8eeJe5P,True,2023-01-1
HF2gampXXRyBCXe8eeJe5P,True,2023-01-1
HF2gampXXRyBCXe8eeJe5P,True,2023-01-1
knYUTRUqhvofvqQWtdbW7v,False,2022-12-30
knYUTRUqhvofvqQWtdbW7v,False,2022-12-30
knYUTRUqhvofvqQWtdbW7v,False,2022-12-30
knYUTRUqhvofvqQWtdbW7v,False,2022-12-30
hoiMMfK8w6pmpmJKJVeVKm,True,2023-05-5
hoiMMfK8w6pmpmJKJVeVKm,True,2023-05-5
